_id,full_name,email,ssn,ip_address,gender,date_of_birth,zip_code,annual_income,credit_history_months,debt_to_income,savings_balance,spending_Shopping,spending_Rent,spending_Alcohol,spending_total,loan_approved,interest_rate,approved_amount,rejection_reason,processing_timestamp,spending_Dining,spending_Healthcare,spending_Fitness,spending_Entertainment,spending_Insurance,spending_Travel,spending_Transportation,spending_Utilities,spending_Groceries,spending_Education,spending_Adult Entertainment,spending_Gambling,dob_parsed,age,annual_income_imputed,dti_flag,email_invalid,timestamp_missing,spending_exceeds_income
app_120,Carolyn Martin,,,,Female,,90240,103000.0,96,0.45,26517,0.0,0.0,0.0,1398,False,,,algorithm_risk_score,,590.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,0.0,0.0,0.0,0.0,,,False,False,True,True,False
app_165,Brandon Moore,,,,Male,,10077,66000.0,6,0.16,36936,0.0,0.0,0.0,943,True,5.6,53000.0,,2024-01-15T00:00:00Z,435.0,0.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,True,False,False
app_075,Margaret Williams,,,,Unknown,,,61000.0,29,0.15,25894,121.0,0.0,0.0,1062,True,5.1,22000.0,,,0.0,0.0,0.0,882.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,,,False,False,True,True,False
app_350,Linda Adams,,356-98-8263,10.207.183.196,Female,,90291,89000.0,52,0.2,14377,0.0,0.0,0.0,1546,True,4.1,67000.0,,,0.0,0.0,0.0,670.0,0.0,0.0,0.0,876.0,0.0,0.0,0.0,0.0,,,False,False,True,True,False
app_437,Ashley Lopez,ashley.lopez68@icloud.com,637-73-3119,192.168.220.15,Female,1992-02-01,10033,107000.0,59,0.33,33144,0.0,0.0,0.0,825,True,5.6,69000.0,,,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992-02-01,34.0807665982204,False,False,False,True,False
app_380,Debra Anderson,debra.anderson61@outlook.com,309-91-9124,10.200.165.163,Female,1969-07-01,90294,86000.0,48,0.08,26763,0.0,0.0,447.0,968,True,5.7,19000.0,,,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969-07-01,56.668035592060235,False,False,False,True,False
app_376,Brenda Young,brenda.young74@gmail.com,985-67-3351,172.22.235.81,Female,1968-10-01,90283,82000.0,96,0.2,33059,0.0,0.0,0.0,212,False,,,algorithm_risk_score,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,1968-10-01,57.4154688569473,False,False,False,True,False
app_325,Lisa Nguyen,lisa.nguyen45@protonmail.com,217-40-8640,192.168.54.67,Female,1981-11-01,10043,79000.0,63,0.39,27810,0.0,191.0,0.0,191,False,,,algorithm_risk_score,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981-11-01,44.33127994524298,False,False,False,True,False
app_320,Jason Brown,jason.brown65@icloud.com,222-48-1592,192.168.52.13,Male,1978-12-01,90286,168000.0,58,0.35,13088,0.0,0.0,0.0,1109,True,5.9,71000.0,,,0.0,0.0,0.0,0.0,0.0,403.0,0.0,706.0,0.0,0.0,0.0,0.0,1978-12-01,47.2498288843258,False,False,False,True,False
app_334,Raymond Martinez,raymond.martinez88@hotmail.com,251-97-3004,172.27.74.105,Male,1979-12-01,10004,83000.0,29,0.1,42204,0.0,349.0,0.0,794,True,4.4,57000.0,,,0.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0,0.0,1979-12-01,46.25051334702259,False,False,False,True,False
